no_attrib,scaling,test_size,activation,optimiser,no_epochs,batch_size,loss
4,False,0.3,tanh,adam,100,10,18.864909322638262
5,False,0.3,tanh,adam,100,10,21.860761542069284
6,False,0.3,tanh,adam,100,10,18.244639145700557
7,False,0.3,tanh,adam,100,10,23.939883382696856
8,False,0.3,tanh,adam,100,10,22.655092239379883
9,False,0.3,tanh,adam,100,10,22.552271792763158
10,False,0.3,tanh,adam,100,10,12.208978125923558
11,False,0.3,tanh,adam,100,10,16.648116463109066
1,False,0.3,sigmoid,adam,100,10,37.53106679414448
2,False,0.3,sigmoid,adam,100,10,23.01476518731368
3,False,0.3,sigmoid,adam,100,10,29.065005854556436
4,False,0.3,sigmoid,adam,100,10,28.266712439687627
5,False,0.3,sigmoid,adam,100,10,19.467634401823346
6,False,0.3,sigmoid,adam,100,10,19.909055509065325
7,False,0.3,sigmoid,adam,100,10,21.389857643528988
8,False,0.3,sigmoid,adam,100,10,13.152884734304328
9,False,0.3,sigmoid,adam,100,10,25.454619357460423
10,False,0.3,sigmoid,adam,100,10,20.833361123737536
11,False,0.3,sigmoid,adam,100,10,21.390649594758685
1,False,0.3,exponential,adam,100,10,25.800272690622432
2,False,0.3,exponential,adam,100,10,22.934579924533242
3,False,0.3,exponential,adam,100,10,17.648583537653874
4,False,0.3,exponential,adam,100,10,27.243722413715563
5,False,0.3,exponential,adam,100,10,17.611139749225817
6,False,0.3,exponential,adam,100,10,9.650781380502801
7,False,0.3,exponential,adam,100,10,21.062831276341488
8,False,0.3,exponential,adam,100,10,32.249470008047005
9,False,0.3,exponential,adam,100,10,22.71548813267758
10,False,0.3,exponential,adam,100,10,12.74558895512631
11,False,0.3,exponential,adam,100,10,25.581764020417864
1,False,0.3,elu,adam,100,10,25.125910307231702
2,False,0.3,elu,adam,100,10,26.340856150576943
3,False,0.3,elu,adam,100,10,23.766969178852282
4,False,0.3,elu,adam,100,10,21.61294106433266
5,False,0.3,elu,adam,100,10,16.797993835649994
6,False,0.3,elu,adam,100,10,13.287829148141961
7,False,0.3,elu,adam,100,10,19.87559976075825
8,False,0.3,elu,adam,100,10,11.128966055418315
9,False,0.3,elu,adam,100,10,17.04170056393272
10,False,0.3,elu,adam,100,10,14.82062440169485
11,False,0.3,elu,adam,100,10,11.772770731072677
1,False,0.3,linear,adam,100,10,34.66281670018246
2,False,0.3,linear,adam,100,10,23.278393996389287
3,False,0.3,linear,adam,100,10,36.52675939861097
4,False,0.3,linear,adam,100,10,28.28692084864566
5,False,0.3,linear,adam,100,10,27.806894201981393
6,False,0.3,linear,adam,100,10,45.56761716541491
7,False,0.3,linear,adam,100,10,32.117436961123815
8,False,0.3,linear,adam,100,10,30.996647884971217
9,False,0.3,linear,adam,100,10,27.80246292917352
10,False,0.3,linear,adam,100,10,34.54971132780376
11,False,0.3,linear,adam,100,10,24.990808537131862
